K,nw_iters,nw_obj,nw_err,nw_converged,nw_time,dnw_iters,dnw_obj,dnw_err,dnw_converged,dnw_time
8,38,0.00024975714637175356,0.002813981522679782,True,0.008493661880493164,34,0.0002497571463729015,0.0028141844444108392,True,0.014465093612670898
16,61,0.00024975714637183666,0.0028139815061274105,True,0.007922887802124023,54,0.00024975714637304246,0.002814187523288737,True,0.015784025192260742
32,10000,0.6265217224622441,10.476040721714917,False,1.2972280979156494,87,0.0002497571463731795,0.002814196702798523,True,0.02525806427001953
50,10000,2.094952886699377,1633.192352879914,False,1.1895158290863037,234,0.0001698447559953889,0.001820353838558274,True,0.07612800598144531
75,10000,7.14311844414767,5541.812172756611,False,1.2070648670196533,638,0.0001698447559954511,0.0018203539773310163,True,0.20915889739990234
100,10000,11.288149469016581,8630.595146177138,False,3.301071882247925,1150,0.0001697753210950812,0.002795947919245553,True,1.064272165298462
150,10000,26.803731611705643,15484.5166019559,False,3.6049106121063232,1494,0.00016977532109577418,0.002796025520504812,True,1.2558181285858154
200,10000,38.29699402533249,20825.86255644377,False,3.465273141860962,1808,0.00016977532109502995,0.0027959517415708673,True,1.3248331546783447
300,10000,65.59033213224834,30111.695997325118,False,2.889410972595215,2128,0.00016977532109533453,0.0027959711718982235,True,1.6413371562957764
400,10000,99.24723262463652,37096.92922119432,False,3.020362138748169,3190,0.00016977352733638543,0.0029506321575915335,True,2.7712759971618652
500,10000,123.77197985505121,42373.23980306472,False,3.0341389179229736,3605,0.00016977352733597015,0.0029505631435497288,True,3.4244139194488525
